class,precision,recall,f1,support
Drama,0.79375,0.8581081081081081,0.8246753246753247,148
Adventure,0.6,0.42857142857142855,0.5,28
Crime,0.6086956521739131,0.3333333333333333,0.4307692307692308,42
Action,0.5714285714285714,0.24242424242424243,0.3404255319148936,33
Comedy,0.375,0.14634146341463414,0.21052631578947367,41
Animation,0.5,0.11764705882352941,0.19047619047619047,17
Family,1.0,0.1,0.18181818181818182,10
Sci-Fi,1.0,0.09090909090909091,0.16666666666666666,11
Biography,1.0,0.08695652173913043,0.16,23
History,1.0,0.08333333333333333,0.15384615384615385,12
Mystery,0.5,0.07692307692307693,0.13333333333333333,26
Thriller,0.14285714285714285,0.038461538461538464,0.06060606060606061,26
Romance,0.14285714285714285,0.02857142857142857,0.047619047619047616,35
Fantasy,0.0,0.0,0.0,18
War,0.0,0.0,0.0,9
